,clusters
798,4
799,6
800,10
801,4
802,6
803,6
804,10
805,7
806,7
807,8
808,4
809,6
810,9
811,4
812,10
813,4
814,4
815,9
816,1
817,1
818,1
819,4
820,4
821,9
822,9
823,12
824,4
825,7
826,6
827,1
828,1
829,1
830,12
831,12
832,12
833,12
834,12
835,12
836,12
837,12
838,12
839,12
840,12
841,7
842,6
843,4
844,10
845,4
846,6
847,10
848,10
849,5
850,5
851,4
852,9
853,8
854,12
855,9
856,4
857,7
858,11
859,10
860,4
861,7
862,7
863,7
864,4
865,4
866,4
867,4
868,5
869,5
870,7
871,6
872,6
873,4
874,12
875,7
876,4
877,0
878,10
879,9
880,5
881,8
882,6
883,6
884,6
885,6
886,4
887,10
888,4
889,4
890,10
891,10
892,7
893,7
894,12
895,10
896,10
897,10
898,10
899,10
900,10
901,10
902,10
903,10
904,10
905,7
906,3
907,3
908,3
909,4
910,4
911,6
912,6
913,6
914,6
915,6
916,6
917,4
918,11
919,4
920,6
921,4
922,4
923,4
924,0
925,11
926,8
927,7
928,2
929,6
930,4
931,7
932,10
933,3
934,3
935,3
936,3
937,3
938,1
939,10
940,8
941,4
942,4
943,4
944,4
945,8
946,6
947,6
948,6
949,6
950,6
951,3
952,4
953,4
954,4
955,4
956,6
957,11
958,11
959,2
960,2
961,4
962,9
963,9
964,9
965,12
966,9
967,10
968,4
969,3
970,3
971,3
972,3
973,3
974,4
975,4
976,4
977,4
978,4
979,4
980,3
981,3
982,3
983,8
984,12
985,7
986,10
987,6
988,6
989,6
990,10
991,10
992,6
993,7
994,10
995,9
996,9
997,10
998,9
999,7
1000,7
1001,11
1002,11
1003,6
1004,5
1005,0
1006,9
1007,10
1008,7
1009,10
1010,10
1011,7
1012,9
1013,4
1014,9
1015,8
1016,8
1017,8
1018,5
1019,7
1020,10
1021,10
1022,6
1023,11
1024,4
1025,4
1026,4
1027,4
1028,7
1029,12
1030,3
1031,3
1032,3
1033,4
1034,4
1035,11
1036,2
1037,4
1038,8
1039,8
1040,12
1041,6
1042,0
1043,2
1044,7
1045,2
1046,2
1047,2
1048,9
1049,4
1050,9
1051,12
1052,4
1053,9
1054,2
1055,10
1056,7
1057,10
1058,7
1059,8
1060,4
1061,4
1062,6
1063,6
1064,6
1065,6
1066,11
1067,10
1068,10
1069,4
1070,4
1071,6
1072,4
1073,4
1074,4
1075,4
1076,4
1077,8
1078,6
1079,3
1080,3
1081,3
1082,3
1083,3
1084,10
1085,6
1086,8
1087,5
1088,9
1089,6
1090,7
1091,2
1092,4
1093,4
1094,10
1095,4
1096,4
1097,4
1098,7
1099,9
1100,9
1101,9
1102,4
1103,5
1104,8
1105,4
1106,4
1107,4
1108,7
1109,4
1110,11
1111,6
1112,6
1113,0
1114,7
1115,7
1116,7
1117,4
1118,4
1119,5
1120,2
1121,4
1122,7
1123,7
1124,8
1125,5
1126,4
1127,7
1128,5
1129,8
1130,2
1131,10
1132,9
1133,2
1134,9
1135,2
1136,2
1137,12
1138,2
1139,2
1140,10
1141,7
1142,11
1143,2
1144,11
