,clusters
2993,1
2994,5
2995,3
2996,9
2997,7
2998,9
2999,7
3000,3
3001,10
3002,4
3003,3
3004,3
3005,3
3006,3
3007,4
3008,3
3009,3
3010,3
3011,3
3012,3
3013,10
3014,9
3015,9
3016,10
3017,7
3018,7
3019,7
3020,7
3021,7
3022,7
3023,7
3024,7
3025,7
3026,7
3027,4
3028,12
3029,1
3030,1
3031,1
3032,1
3033,1
3034,1
3035,1
3036,1
3037,8
3038,10
3039,7
3040,7
3041,12
3042,12
3043,3
3044,3
3045,3
3046,4
3047,4
3048,12
3049,7
3050,7
3051,7
3052,6
3053,4
3054,7
3055,3
3056,12
3057,3
3058,3
3059,3
3060,3
3061,4
3062,1
3063,1
3064,1
3065,1
3066,7
3067,4
3068,6
3069,1
3070,1
3071,1
3072,1
3073,1
3074,9
3075,10
3076,6
3077,7
3078,7
3079,7
3080,3
3081,3
3082,3
3083,3
3084,3
3085,3
3086,3
3087,3
3088,7
3089,5
3090,8
3091,8
3092,8
3093,8
3094,8
3095,8
3096,8
3097,8
3098,4
3099,5
3100,5
3101,4
3102,5
3103,4
3104,4
3105,8
3106,8
3107,8
3108,3
3109,8
3110,8
3111,4
3112,7
3113,7
3114,7
3115,7
3116,7
3117,7
3118,7
3119,7
3120,7
3121,7
3122,7
3123,7
3124,7
3125,7
3126,7
3127,7
3128,7
3129,7
3130,7
3131,7
3132,7
3133,7
3134,7
3135,7
3136,7
3137,7
3138,7
3139,7
3140,7
3141,7
3142,7
3143,3
3144,3
3145,3
3146,3
3147,4
3148,3
3149,3
3150,3
3151,3
3152,4
3153,7
3154,6
3155,3
3156,2
3157,4
3158,4
3159,5
3160,5
3161,5
3162,5
3163,8
3164,8
3165,5
3166,5
3167,3
3168,3
3169,3
3170,3
3171,3
3172,8
3173,8
3174,8
3175,8
3176,4
3177,5
3178,3
3179,8
3180,0
3181,0
3182,4
3183,8
3184,11
3185,4
3186,1
3187,1
3188,4
3189,5
3190,4
3191,11
3192,7
3193,7
3194,4
3195,4
3196,4
3197,0
3198,1
3199,1
3200,1
3201,1
3202,1
3203,1
3204,7
3205,7
3206,7
3207,7
3208,7
3209,7
3210,7
3211,7
3212,7
3213,7
3214,7
3215,7
3216,7
3217,7
3218,7
3219,7
3220,7
3221,7
3222,7
3223,7
3224,7
3225,7
3226,7
3227,7
3228,7
3229,7
3230,7
3231,7
3232,7
3233,7
3234,7
3235,7
3236,7
3237,7
3238,7
3239,7
3240,7
3241,7
3242,7
3243,7
3244,10
3245,10
3246,10
3247,6
3248,6
3249,1
3250,1
3251,1
3252,1
3253,1
3254,1
3255,1
3256,4
3257,4
3258,4
3259,7
3260,8
3261,0
3262,0
3263,0
3264,0
3265,4
3266,4
3267,8
3268,7
3269,12
3270,5
3271,3
3272,3
3273,3
3274,3
3275,3
3276,3
3277,4
3278,5
3279,4
3280,4
3281,5
3282,5
3283,5
3284,4
3285,4
3286,8
3287,8
3288,8
3289,8
3290,8
3291,8
3292,8
3293,8
3294,8
3295,8
3296,8
3297,8
3298,0
3299,1
3300,1
3301,1
3302,1
3303,1
3304,0
3305,4
3306,4
3307,4
3308,4
3309,7
3310,8
3311,0
3312,0
3313,0
3314,0
3315,4
3316,4
3317,10
3318,1
3319,1
3320,1
3321,1
3322,1
3323,1
3324,3
3325,3
3326,3
3327,3
3328,3
3329,10
3330,4
3331,4
3332,8
3333,8
3334,8
3335,8
3336,8
3337,8
3338,3
3339,2
3340,2
3341,2
3342,7
3343,12
3344,4
3345,3
3346,9
3347,6
3348,7
3349,4
3350,5
3351,5
3352,5
3353,4
3354,4
3355,4
3356,4
3357,5
3358,5
3359,5
3360,4
3361,3
3362,3
3363,3
3364,3
3365,3
3366,3
3367,3
3368,3
3369,3
3370,3
3371,8
3372,8
3373,8
3374,8
3375,8
3376,10
3377,10
3378,10
3379,10
3380,10
3381,4
3382,4
3383,4
3384,4
3385,4
3386,4
3387,4
3388,4
3389,7
3390,3
3391,3
3392,3
3393,4
3394,4
3395,4
3396,6
3397,10
3398,7
3399,9
3400,6
3401,4
3402,4
3403,6
3404,4
3405,8
3406,8
3407,11
3408,4
3409,4
3410,4
3411,4
3412,8
3413,8
3414,10
3415,7
3416,5
3417,6
3418,7
3419,7
3420,10
3421,4
3422,5
3423,5
3424,5
3425,8
3426,8
3427,8
3428,8
3429,8
3430,8
3431,8
3432,8
3433,8
3434,8
3435,8
3436,8
3437,8
3438,8
3439,7
3440,7
3441,3
3442,3
3443,3
3444,6
3445,5
3446,7
3447,7
3448,3
3449,0
3450,1
3451,1
3452,1
3453,1
3454,1
3455,1
3456,1
3457,1
3458,0
3459,0
3460,0
3461,0
3462,0
3463,0
3464,0
3465,4
3466,11
3467,3
3468,1
3469,1
3470,1
3471,1
3472,1
3473,1
3474,1
3475,1
3476,1
3477,10
3478,10
3479,6
3480,8
3481,1
3482,9
3483,12
3484,5
3485,5
3486,8
3487,8
3488,8
3489,8
3490,8
3491,8
3492,4
3493,4
3494,4
3495,3
3496,3
3497,3
3498,3
3499,3
3500,3
3501,3
3502,3
3503,6
3504,4
3505,7
3506,7
3507,7
3508,10
3509,10
3510,9
3511,4
3512,12
3513,10
3514,9
3515,4
3516,6
3517,8
3518,8
3519,8
3520,10
3521,10
3522,10
3523,10
3524,10
3525,1
3526,1
3527,1
3528,1
3529,1
3530,1
3531,1
3532,7
3533,4
3534,3
3535,1
3536,1
3537,1
3538,1
3539,1
3540,7
3541,3
3542,3
3543,3
3544,3
3545,3
3546,3
3547,3
3548,4
3549,4
3550,4
3551,4
3552,8
3553,8
3554,8
3555,6
3556,6
3557,6
3558,6
3559,6
3560,6
3561,6
3562,2
3563,2
3564,2
3565,5
3566,5
3567,1
3568,1
3569,1
3570,1
3571,1
3572,1
3573,1
3574,7
3575,7
3576,7
3577,7
3578,4
3579,4
3580,8
3581,8
3582,8
3583,3
3584,3
3585,8
3586,10
3587,7
3588,7
3589,6
3590,4
3591,4
3592,4
3593,4
3594,8
3595,8
3596,8
3597,6
3598,6
3599,6
3600,6
3601,6
3602,6
3603,6
3604,2
3605,2
3606,2
3607,5
3608,5
3609,1
3610,1
3611,1
3612,1
3613,1
3614,1
3615,1
3616,7
3617,7
3618,7
3619,7
3620,4
3621,4
3622,1
3623,1
3624,1
3625,1
3626,1
3627,1
3628,7
3629,7
3630,4
3631,1
3632,1
3633,1
3634,1
3635,1
3636,1
3637,1
3638,1
3639,1
3640,1
3641,1
3642,1
3643,1
3644,1
3645,1
3646,1
3647,1
3648,1
3649,10
3650,8
3651,8
3652,8
3653,8
3654,4
3655,4
3656,4
3657,4
3658,4
3659,8
3660,8
3661,8
3662,6
3663,6
3664,6
3665,6
3666,6
3667,6
3668,6
3669,2
3670,2
3671,2
3672,5
3673,5
3674,1
3675,1
3676,1
3677,1
3678,1
3679,1
3680,1
3681,7
3682,7
3683,7
3684,7
3685,6
3686,1
3687,1
3688,1
3689,1
3690,10
3691,4
3692,8
3693,8
3694,8
3695,8
3696,8
3697,10
3698,9
3699,2
3700,10
3701,8
3702,8
3703,8
3704,8
3705,8
3706,8
3707,8
3708,8
3709,8
3710,8
3711,8
3712,1
3713,1
3714,1
3715,1
3716,1
3717,4
3718,4
3719,8
3720,3
3721,8
3722,8
3723,8
3724,1
3725,1
3726,4
3727,9
3728,8
3729,8
3730,8
3731,8
3732,8
3733,4
3734,4
3735,6
3736,9
3737,2
3738,7
3739,7
3740,7
3741,7
3742,7
3743,7
3744,7
3745,7
3746,7
3747,7
3748,7
3749,7
3750,7
3751,7
3752,7
3753,1
3754,1
3755,1
3756,1
3757,1
3758,1
3759,1
3760,1
3761,1
3762,1
3763,1
3764,1
3765,1
3766,1
3767,1
3768,1
3769,1
3770,2
3771,5
3772,1
3773,1
3774,1
3775,7
3776,7
3777,7
3778,7
3779,3
3780,4
3781,3
3782,3
3783,1
3784,1
3785,1
3786,1
3787,1
3788,1
3789,6
3790,3
3791,3
3792,4
3793,8
3794,8
3795,8
3796,7
3797,6
3798,4
3799,6
3800,6
3801,1
3802,1
3803,1
3804,1
3805,1
3806,1
3807,1
3808,1
3809,1
3810,1
3811,1
3812,1
3813,1
3814,1
3815,1
3816,1
3817,1
3818,7
3819,7
3820,7
3821,7
3822,7
3823,7
3824,5
3825,7
3826,7
3827,3
3828,0
3829,4
3830,3
3831,3
3832,3
3833,1
3834,1
3835,1
3836,1
3837,1
3838,3
3839,3
3840,3
3841,7
3842,12
3843,1
3844,1
3845,1
3846,1
3847,1
3848,1
3849,1
3850,1
3851,1
3852,1
3853,1
3854,1
3855,1
3856,1
3857,1
3858,1
3859,1
3860,1
3861,1
3862,1
3863,1
3864,1
3865,1
3866,1
3867,1
3868,1
3869,1
3870,1
3871,12
3872,7
3873,10
3874,8
3875,8
3876,8
3877,8
3878,8
3879,8
3880,8
3881,8
3882,8
3883,8
3884,0
3885,4
3886,12
3887,7
3888,2
3889,4
3890,4
3891,6
3892,6
3893,1
3894,1
3895,1
3896,1
3897,1
3898,6
3899,10
3900,4
3901,4
3902,4
3903,3
3904,3
3905,3
3906,3
3907,3
3908,3
3909,3
3910,3
3911,3
3912,3
3913,8
3914,3
3915,5
3916,4
3917,7
3918,7
3919,7
3920,0
3921,1
3922,1
3923,1
3924,4
3925,4
3926,0
3927,1
3928,1
3929,1
3930,4
3931,4
3932,11
3933,3
3934,3
3935,2
3936,9
3937,11
3938,9
3939,6
3940,7
3941,0
3942,3
3943,1
3944,1
3945,1
3946,1
3947,1
3948,7
3949,7
3950,7
3951,7
3952,7
3953,2
3954,1
3955,1
3956,1
3957,1
3958,1
3959,1
3960,1
3961,12
3962,7
3963,4
3964,7
3965,7
3966,1
3967,1
3968,1
3969,1
3970,1
3971,1
3972,1
3973,4
3974,4
3975,4
3976,4
3977,4
3978,4
3979,4
3980,4
3981,4
3982,4
3983,8
3984,8
3985,8
3986,8
3987,8
3988,4
3989,4
3990,4
3991,1
3992,1
3993,8
3994,2
3995,3
3996,3
3997,9
3998,8
3999,8
4000,8
4001,8
4002,8
4003,4
4004,5
4005,8
4006,8
4007,4
4008,5
4009,4
4010,4
4011,2
4012,2
4013,10
4014,7
4015,1
4016,1
4017,1
4018,1
4019,1
4020,1
4021,7
4022,4
4023,2
4024,2
4025,4
4026,4
4027,4
4028,1
4029,1
4030,1
4031,1
4032,1
4033,4
4034,4
4035,7
4036,4
4037,6
4038,8
4039,8
4040,6
4041,10
4042,4
4043,8
4044,8
4045,1
4046,1
4047,1
4048,1
4049,1
4050,1
4051,1
4052,1
4053,6
4054,7
4055,8
4056,7
4057,11
4058,2
4059,2
4060,3
4061,3
4062,3
4063,3
4064,3
4065,3
4066,3
4067,3
4068,3
4069,1
4070,1
4071,1
4072,5
4073,4
4074,6
4075,8
4076,1
4077,1
4078,1
4079,4
4080,4
4081,7
4082,4
4083,4
4084,8
4085,8
4086,8
4087,4
4088,1
4089,10
4090,10
4091,7
4092,10
4093,3
4094,3
4095,3
4096,3
4097,1
4098,1
4099,1
4100,1
4101,1
4102,1
4103,1
4104,1
4105,1
4106,1
4107,1
4108,1
4109,1
4110,1
4111,1
4112,1
4113,1
4114,1
4115,1
4116,1
4117,1
4118,1
4119,1
4120,8
4121,12
4122,10
4123,10
4124,10
4125,3
4126,2
4127,5
4128,4
4129,4
4130,2
4131,4
4132,4
4133,7
4134,4
4135,10
4136,10
4137,6
4138,8
4139,3
4140,3
4141,3
4142,3
4143,3
4144,3
4145,3
4146,3
4147,3
4148,4
4149,4
4150,1
4151,1
4152,3
4153,3
4154,3
4155,10
4156,4
4157,1
4158,1
4159,1
4160,1
4161,1
4162,1
4163,1
4164,1
4165,1
4166,1
4167,1
4168,4
4169,4
4170,1
4171,1
4172,1
4173,1
4174,1
4175,1
4176,1
4177,1
4178,1
4179,1
4180,1
4181,4
4182,2
4183,5
4184,5
4185,5
4186,5
4187,5
4188,5
4189,5
4190,5
4191,4
4192,4
4193,4
4194,4
4195,4
4196,4
4197,4
4198,5
4199,5
4200,5
4201,5
4202,5
4203,5
4204,5
4205,4
4206,4
4207,3
4208,8
4209,8
4210,8
4211,8
4212,1
4213,1
4214,1
4215,1
4216,1
4217,1
4218,1
4219,1
4220,1
4221,1
4222,1
4223,1
4224,1
4225,1
4226,4
4227,1
4228,1
4229,1
4230,1
4231,1
4232,1
4233,2
4234,1
4235,1
4236,1
4237,1
4238,1
4239,1
4240,1
4241,1
4242,1
4243,1
4244,1
4245,4
4246,1
4247,1
4248,1
4249,1
4250,1
4251,1
4252,1
4253,1
4254,1
4255,1
4256,1
4257,4
4258,1
4259,7
4260,7
4261,1
4262,1
4263,1
4264,1
4265,1
4266,1
4267,1
4268,1
4269,1
4270,1
4271,1
4272,4
4273,1
4274,1
4275,1
4276,1
4277,1
4278,1
4279,1
4280,1
4281,1
4282,1
4283,1
4284,4
4285,1
4286,1
4287,1
4288,1
4289,1
4290,1
4291,1
4292,1
4293,1
4294,1
4295,1
4296,4
4297,10
4298,10
4299,3
4300,4
4301,1
4302,1
4303,1
4304,1
4305,1
4306,1
4307,1
4308,1
4309,1
4310,1
4311,1
4312,4
4313,3
4314,4
4315,1
4316,1
4317,1
4318,1
4319,1
4320,1
4321,1
4322,1
4323,1
4324,1
4325,1
4326,4
4327,1
4328,1
4329,1
4330,1
4331,1
4332,1
4333,1
4334,1
4335,1
4336,1
4337,1
4338,4
4339,12
4340,6
4341,6
4342,1
4343,1
4344,1
4345,1
4346,1
4347,1
4348,1
4349,1
4350,1
4351,1
4352,1
4353,4
4354,4
4355,4
4356,5
4357,8
4358,8
4359,8
4360,4
4361,4
4362,9
4363,1
4364,1
4365,1
4366,1
4367,1
4368,1
4369,1
4370,1
4371,1
4372,1
4373,1
4374,4
4375,7
4376,10
4377,1
4378,1
4379,1
4380,1
4381,1
4382,1
4383,1
4384,1
4385,1
4386,1
4387,1
4388,4
4389,9
4390,1
4391,1
4392,1
4393,1
4394,1
4395,1
4396,1
4397,1
4398,1
4399,1
4400,1
4401,4
4402,7
4403,9
4404,4
4405,8
4406,8
4407,8
4408,8
4409,1
4410,1
4411,3
4412,1
4413,1
4414,1
4415,1
4416,1
4417,1
4418,1
4419,1
4420,1
4421,1
4422,1
4423,4
4424,3
4425,3
4426,3
4427,3
4428,3
4429,3
4430,3
4431,7
4432,4
4433,9
4434,6
4435,10
4436,1
4437,1
4438,1
4439,1
4440,1
4441,1
4442,1
4443,1
4444,1
4445,1
4446,1
4447,4
4448,9
4449,8
4450,1
4451,1
4452,1
4453,1
4454,1
4455,1
4456,1
4457,1
4458,1
4459,1
4460,1
4461,4
4462,3
4463,3
4464,0
4465,9
4466,1
4467,1
4468,1
4469,1
4470,1
4471,1
4472,1
4473,1
4474,1
4475,1
4476,1
4477,4
4478,10
4479,7
4480,8
4481,8
4482,8
4483,8
4484,8
4485,7
4486,1
4487,1
4488,1
4489,1
4490,1
4491,1
4492,1
4493,1
4494,1
4495,1
4496,1
4497,4
4498,10
4499,10
4500,10
4501,5
4502,5
4503,5
4504,5
4505,5
4506,5
4507,5
4508,5
4509,4
4510,4
4511,4
4512,4
4513,4
4514,4
4515,4
4516,5
4517,5
4518,5
4519,5
4520,5
4521,5
4522,5
4523,4
4524,4
4525,3
4526,8
4527,8
4528,8
4529,8
4530,5
4531,5
4532,5
4533,5
4534,5
4535,5
4536,5
4537,5
4538,4
4539,4
4540,4
4541,4
4542,4
4543,4
4544,4
4545,5
4546,5
4547,5
4548,5
4549,5
4550,5
4551,5
4552,4
4553,4
4554,3
4555,8
4556,8
4557,8
4558,8
4559,1
4560,1
4561,1
4562,9
4563,1
4564,1
4565,1
4566,1
4567,1
4568,1
4569,1
4570,1
4571,1
4572,1
4573,1
4574,4
4575,1
4576,1
4577,1
4578,8
4579,4
4580,4
4581,10
4582,4
4583,5
4584,4
4585,4
4586,8
4587,4
4588,4
4589,4
4590,4
4591,4
4592,4
4593,4
4594,4
4595,4
4596,4
4597,4
4598,4
4599,4
4600,4
4601,4
4602,4
4603,5
4604,5
4605,5
4606,5
4607,4
4608,1
4609,7
4610,7
4611,1
4612,1
4613,1
4614,1
4615,1
4616,1
4617,1
4618,1
4619,1
4620,1
4621,1
4622,4
4623,0
4624,4
4625,4
4626,5
4627,5
4628,4
4629,4
4630,1
4631,1
4632,1
4633,1
4634,1
4635,1
4636,1
4637,1
4638,1
4639,1
4640,1
4641,4
4642,10
4643,2
4644,6
4645,11
4646,10
4647,6
4648,1
4649,1
4650,1
4651,1
4652,1
4653,1
4654,1
4655,1
4656,1
4657,1
4658,1
4659,4
4660,10
4661,1
4662,1
4663,1
4664,1
4665,1
4666,1
4667,1
4668,1
4669,1
4670,1
4671,1
4672,4
4673,9
4674,11
4675,5
4676,5
4677,5
4678,5
4679,5
4680,5
4681,5
4682,5
4683,4
4684,4
4685,4
4686,4
4687,4
4688,4
4689,4
4690,5
4691,5
4692,5
4693,5
4694,5
4695,5
4696,5
4697,4
4698,4
4699,3
4700,8
4701,8
4702,8
4703,8
4704,11
4705,1
4706,1
4707,1
4708,1
4709,1
4710,1
4711,1
4712,1
4713,1
4714,1
4715,1
4716,4
4717,1
4718,1
4719,1
4720,1
4721,1
4722,1
4723,1
4724,1
4725,1
4726,1
4727,1
4728,4
4729,4
4730,4
4731,4
4732,4
4733,4
4734,8
4735,0
4736,5
4737,4
4738,6
4739,8
4740,6
4741,1
4742,1
4743,1
4744,1
4745,1
4746,1
4747,1
4748,1
4749,1
4750,1
4751,1
4752,4
4753,0
4754,4
4755,4
4756,4
4757,4
4758,4
4759,8
4760,0
4761,5
4762,1
4763,1
4764,1
4765,1
4766,1
4767,1
4768,1
4769,1
4770,1
4771,1
4772,1
4773,4
4774,0
4775,1
4776,1
4777,1
4778,1
4779,1
4780,1
4781,1
4782,1
4783,1
4784,1
4785,1
4786,4
4787,6
4788,5
4789,5
4790,5
4791,5
4792,5
4793,5
4794,5
4795,5
4796,4
4797,4
4798,4
4799,4
4800,4
4801,4
4802,4
4803,5
4804,5
4805,5
4806,5
4807,5
4808,5
4809,5
4810,4
4811,4
4812,3
4813,8
4814,8
4815,8
4816,8
4817,4
4818,4
4819,1
4820,1
4821,1
4822,1
4823,1
4824,1
4825,1
4826,1
4827,1
4828,1
4829,1
4830,4
4831,5
4832,5
4833,5
4834,5
4835,5
4836,5
4837,5
4838,5
4839,4
4840,4
4841,4
4842,4
4843,4
4844,4
4845,4
4846,5
4847,5
4848,5
4849,5
4850,5
4851,5
4852,5
4853,4
4854,4
4855,3
4856,8
4857,8
4858,8
4859,8
4860,4
4861,5
4862,5
4863,5
4864,5
4865,5
4866,5
4867,5
4868,5
4869,4
4870,4
4871,4
4872,4
4873,4
4874,4
4875,4
4876,5
4877,5
4878,5
4879,5
4880,5
4881,5
4882,5
4883,4
4884,4
4885,3
4886,8
4887,8
4888,8
4889,8
4890,0
4891,1
4892,1
4893,1
4894,1
4895,1
4896,1
4897,1
4898,1
4899,1
4900,1
4901,1
4902,4
4903,7
4904,10
4905,4
4906,6
4907,4
4908,10
4909,9
4910,1
4911,1
4912,1
4913,1
4914,1
4915,1
4916,1
4917,1
4918,1
4919,1
4920,1
4921,4
4922,1
4923,1
4924,1
4925,1
4926,1
4927,1
4928,1
4929,1
4930,1
4931,1
4932,1
4933,4
4934,1
4935,1
4936,1
4937,1
4938,1
4939,1
4940,1
4941,1
4942,1
4943,1
4944,1
4945,4
4946,1
4947,1
4948,1
4949,1
4950,1
4951,1
4952,1
4953,1
4954,1
4955,1
4956,1
4957,4
4958,3
4959,3
4960,3
4961,3
4962,3
4963,3
4964,3
4965,3
4966,3
4967,3
4968,1
4969,1
4970,1
4971,1
4972,1
4973,1
4974,1
4975,1
4976,1
4977,1
4978,1
4979,4
4980,1
4981,1
4982,1
4983,1
4984,1
4985,1
4986,1
4987,1
4988,1
4989,1
4990,1
4991,4
4992,4
4993,1
4994,1
4995,1
4996,1
4997,1
4998,1
4999,1
5000,1
5001,1
5002,1
5003,1
5004,4
5005,7
5006,1
5007,1
5008,1
5009,1
5010,1
5011,1
5012,1
5013,1
5014,1
5015,1
5016,1
5017,4
5018,4
5019,12
5020,3
5021,8
5022,1
5023,1
5024,1
5025,1
5026,1
5027,1
5028,1
5029,1
5030,1
5031,1
5032,1
5033,4
5034,4
5035,1
5036,1
5037,1
5038,1
5039,1
5040,1
5041,1
5042,1
5043,1
5044,1
5045,1
5046,4
5047,1
5048,1
5049,1
5050,1
5051,1
5052,1
5053,1
5054,1
5055,1
5056,1
5057,1
5058,4
5059,1
5060,1
5061,1
5062,1
5063,1
5064,1
5065,1
5066,1
5067,1
5068,1
5069,1
5070,4
5071,4
5072,7
5073,3
5074,1
5075,1
5076,1
5077,1
5078,1
5079,1
5080,1
5081,1
5082,1
5083,1
5084,1
5085,4
5086,4
5087,9
5088,7
5089,1
5090,1
5091,1
5092,1
5093,1
5094,1
5095,1
5096,1
5097,1
5098,1
5099,1
5100,4
5101,7
5102,3
5103,3
5104,3
5105,3
5106,3
5107,3
5108,3
5109,1
5110,1
5111,1
5112,1
5113,1
5114,1
5115,1
5116,1
5117,1
5118,1
5119,1
5120,4
5121,7
5122,5
5123,4
5124,6
5125,1
5126,1
5127,1
5128,1
5129,1
5130,1
5131,1
5132,1
5133,1
5134,1
5135,1
5136,4
5137,1
5138,1
5139,1
5140,1
5141,1
5142,1
5143,1
5144,1
5145,1
5146,1
5147,1
5148,4
5149,9
5150,1
5151,1
5152,1
5153,1
5154,1
5155,1
5156,1
5157,1
5158,1
5159,1
5160,1
5161,4
5162,10
5163,3
5164,1
5165,1
5166,1
5167,1
5168,1
5169,1
5170,1
5171,1
5172,1
5173,1
5174,1
5175,4
5176,10
5177,1
5178,1
5179,1
5180,1
5181,1
5182,1
5183,1
5184,1
5185,1
5186,1
5187,1
5188,4
5189,0
5190,9
5191,12
5192,1
5193,1
5194,1
5195,1
5196,1
5197,1
5198,1
5199,1
5200,1
5201,1
5202,1
5203,4
5204,9
5205,3
5206,3
5207,3
5208,3
5209,3
5210,1
5211,1
5212,1
5213,1
5214,1
5215,1
5216,1
5217,1
5218,1
5219,1
5220,1
5221,4
5222,6
5223,4
5224,7
5225,9
5226,9
5227,6
5228,7
5229,1
5230,1
5231,1
5232,1
5233,1
5234,1
5235,1
5236,1
5237,1
5238,1
5239,1
5240,4
5241,6
5242,6
5243,1
5244,1
5245,1
5246,1
5247,1
5248,1
5249,1
5250,1
5251,1
5252,1
5253,1
5254,4
5255,1
5256,1
5257,1
5258,1
5259,1
5260,1
5261,1
5262,1
5263,1
5264,1
5265,1
5266,4
5267,1
5268,1
5269,1
5270,1
5271,1
5272,1
5273,1
5274,1
5275,1
5276,1
5277,1
5278,4
5279,10
5280,1
5281,1
5282,1
5283,1
5284,1
5285,1
5286,1
5287,1
5288,1
5289,1
5290,1
5291,4
5292,3
5293,1
5294,1
5295,1
5296,1
5297,1
5298,1
5299,1
5300,1
5301,1
5302,1
5303,1
5304,4
5305,9
5306,1
5307,1
5308,1
5309,1
5310,1
5311,1
5312,1
5313,1
5314,1
5315,1
5316,1
5317,4
5318,1
5319,1
5320,1
5321,1
5322,1
5323,1
5324,1
5325,1
5326,1
5327,1
5328,1
5329,4
5330,10
5331,1
5332,1
5333,1
5334,1
5335,1
5336,1
5337,1
5338,1
5339,1
5340,1
5341,1
5342,4
5343,9
5344,1
5345,1
5346,1
5347,1
5348,1
5349,1
5350,1
5351,1
5352,1
5353,1
5354,1
5355,4
5356,1
5357,1
5358,1
5359,1
5360,1
5361,1
5362,1
5363,1
5364,1
5365,1
5366,1
5367,4
5368,11
5369,1
5370,1
5371,1
5372,1
5373,1
5374,1
5375,1
5376,1
5377,1
5378,1
5379,1
5380,4
5381,4
5382,4
5383,8
5384,8
5385,0
5386,0
5387,7
5388,1
5389,1
5390,7
5391,1
5392,1
5393,1
5394,1
5395,1
5396,1
5397,1
5398,1
5399,1
5400,1
5401,1
5402,4
5403,4
5404,4
5405,8
5406,8
5407,0
5408,0
5409,4
5410,6
5411,4
5412,4
5413,8
5414,8
5415,0
5416,0
5417,9
5418,12
5419,3
5420,3
5421,4
5422,6
5423,8
5424,8
5425,3
5426,4
5427,1
5428,1
5429,1
5430,1
5431,1
5432,1
5433,1
5434,1
5435,1
5436,1
5437,1
5438,4
5439,8
5440,7
5441,7
5442,3
5443,8
5444,1
5445,1
5446,1
5447,1
5448,1
5449,1
5450,1
5451,1
5452,1
5453,1
5454,1
5455,4
5456,5
5457,10
5458,1
5459,1
5460,1
5461,1
5462,1
5463,1
5464,1
5465,1
5466,1
5467,1
5468,1
5469,4
5470,1
5471,1
5472,1
5473,1
5474,1
5475,1
5476,1
5477,1
5478,1
5479,1
5480,1
5481,4
5482,5
5483,5
5484,3
5485,3
5486,3
5487,9
5488,9
5489,3
5490,3
5491,7
5492,7
5493,4
5494,8
5495,10
5496,6
5497,4
5498,7
5499,9
5500,10
5501,6
5502,4
5503,1
5504,1
5505,1
5506,1
5507,1
5508,1
5509,1
5510,1
5511,1
5512,1
5513,1
5514,4
5515,5
5516,3
5517,12
5518,8
5519,8
5520,8
5521,1
5522,1
5523,1
5524,1
5525,1
5526,1
5527,1
5528,1
5529,1
5530,1
5531,1
5532,4
5533,1
5534,1
5535,1
5536,1
5537,1
5538,1
5539,1
5540,1
5541,1
5542,1
5543,1
5544,4
5545,8
5546,8
5547,8
5548,12
5549,8
5550,8
5551,8
5552,8
5553,8
5554,8
5555,8
5556,8
5557,8
5558,8
5559,8
5560,8
5561,8
5562,7
5563,8
5564,8
5565,6
5566,9
5567,7
5568,9
5569,7
5570,3
5571,3
5572,3
5573,3
5574,3
5575,3
5576,3
5577,3
5578,3
5579,3
5580,4
5581,5
5582,5
5583,5
5584,5
5585,4
5586,8
5587,8
5588,0
5589,10
5590,9
5591,4
5592,4
5593,4
5594,11
5595,4
5596,9
5597,12
5598,11
5599,7
5600,6
5601,11
5602,7
5603,6
5604,5
5605,6
5606,10
5607,4
5608,10
5609,10
5610,8
5611,4
5612,4
5613,7
5614,1
5615,1
5616,1
5617,1
5618,1
5619,1
5620,1
5621,1
5622,9
5623,9
5624,7
5625,3
5626,3
5627,3
5628,3
5629,3
5630,3
5631,0
5632,0
5633,0
5634,9
5635,6
5636,4
5637,4
5638,8
5639,4
5640,12
5641,8
5642,4
5643,5
5644,4
5645,4
5646,4
5647,7
5648,6
5649,4
5650,4
5651,3
5652,3
5653,3
5654,3
5655,3
5656,1
5657,10
5658,9
5659,4
5660,7
5661,11
5662,10
5663,3
5664,8
5665,3
5666,3
5667,3
5668,3
5669,3
5670,3
5671,3
5672,3
5673,3
5674,3
5675,7
5676,8
5677,4
5678,4
5679,4
5680,0
5681,8
5682,1
5683,1
5684,1
5685,1
5686,3
5687,8
5688,8
5689,8
5690,4
5691,4
5692,4
5693,4
5694,4
5695,4
5696,4
5697,4
5698,4
5699,6
5700,6
5701,6
5702,6
5703,6
5704,6
5705,4
5706,0
5707,0
5708,4
5709,6
5710,6
5711,10
5712,9
5713,9
5714,11
5715,0
5716,3
5717,6
5718,9
5719,9
5720,4
5721,10
5722,4
5723,7
5724,10
5725,0
5726,6
5727,10
5728,3
5729,11
5730,3
5731,7
5732,1
5733,1
5734,7
5735,8
5736,4
5737,4
5738,4
5739,4
5740,10
5741,4
5742,4
5743,4
5744,4
5745,1
5746,1
5747,4
5748,7
5749,7
5750,7
5751,7
5752,7
5753,7
5754,7
5755,7
5756,7
5757,7
5758,7
5759,2
5760,2
5761,8
5762,1
5763,1
5764,1
5765,1
5766,1
5767,1
5768,9
5769,1
5770,1
5771,8
5772,4
5773,4
5774,4
5775,4
5776,10
5777,4
5778,4
5779,4
5780,1
5781,1
5782,4
5783,7
5784,7
5785,7
5786,7
5787,7
5788,7
5789,7
5790,7
5791,7
